"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"ShannonS28","ShannonS28.coalescedoutcome1","immigrant intake",1,5,"neg immigration rep cue",1113,1107,3.40831074977416,1.16280649038809
"ShannonS28","ShannonS28.coalescedoutcome1","immigrant intake",1,5,"pos immigration rep cue",1140,1135,3.05638766519824,1.16397694080208
"Terman1029","Terman1029.Q4_A1","naitonalist superiority",1,5,"International Rights Group Codemns Abuse in US",396,387,3.31266149870801,1.03709433502041
"Terman1029","Terman1029.Q4_A1","naitonalist superiority",1,5,"International Rights Group Condemns Abuses in the US- “reintegrative”",390,384,3.27604166666667,0.975870212624915
"Terman1029","Terman1029.Q4_A1","naitonalist superiority",1,5,"International Rights Group Condemns Abuses in the US- “stigmatic”",355,350,3.17142857142857,1.11220667323798
"Terman1029","Terman1029.Q4_A1","naitonalist superiority",1,5,"New York Rights Group Condemns Abuses in the United States",392,385,3.3038961038961,1.03259906183902
"Terman1029","Terman1029.Q4_A1","naitonalist superiority",1,5,"Rights Group Condemns Abuses Worldwide",379,372,3.21774193548387,1.0427039585055
"Terman1029","Terman1029.Q5_A2","perception of domestic human rights conditions",1,5,"International Rights Group Codemns Abuse in US",396,384,3.6953125,1.0538398797574
"Terman1029","Terman1029.Q5_A2","perception of domestic human rights conditions",1,5,"International Rights Group Condemns Abuses in the US- “reintegrative”",390,385,3.77922077922078,1.04112540050039
"Terman1029","Terman1029.Q5_A2","perception of domestic human rights conditions",1,5,"International Rights Group Condemns Abuses in the US- “stigmatic”",355,351,3.74074074074074,1.07092404346821
"Terman1029","Terman1029.Q5_A2","perception of domestic human rights conditions",1,5,"New York Rights Group Condemns Abuses in the United States",392,385,3.7038961038961,1.05109585156516
"Terman1029","Terman1029.Q5_A2","perception of domestic human rights conditions",1,5,"Rights Group Condemns Abuses Worldwide",379,374,3.65508021390374,1.06429418466463
"Terman1029","Terman1029.Q73","donating to HRAC",1,2,"International Rights Group Codemns Abuse in US",396,383,1.91644908616188,0.277075087433691
"Terman1029","Terman1029.Q73","donating to HRAC",1,2,"International Rights Group Condemns Abuses in the US- “reintegrative”",390,381,1.89501312335958,0.30693958317894
"Terman1029","Terman1029.Q73","donating to HRAC",1,2,"International Rights Group Condemns Abuses in the US- “stigmatic”",355,351,1.88319088319088,0.3216512139873
"Terman1029","Terman1029.Q73","donating to HRAC",1,2,"New York Rights Group Condemns Abuses in the United States",392,380,1.88684210526316,0.317203357054156
"Terman1029","Terman1029.Q73","donating to HRAC",1,2,"Rights Group Condemns Abuses Worldwide",379,374,1.90909090909091,0.287864890993556
"Bougher893","Bougher893.Q5A1","warmth Candidate A",0,100,"CONTROL (NO PARTY CUE) x ALIGNED",516,502,49.8904382470119,27.1324456875747
"Bougher893","Bougher893.Q5A1","warmth Candidate A",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, NON-SALIENT",463,445,48.8516853932584,29.9186664455952
"Bougher893","Bougher893.Q5A1","warmth Candidate A",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, SALIENT",468,452,54.6814159292035,27.3317519554273
"Bougher893","Bougher893.Q5B2","warmth Candidate B",0,100,"CONTROL (NO PARTY CUE) x ALIGNED",516,496,50.8991935483871,26.4748769677865
"Bougher893","Bougher893.Q5B2","warmth Candidate B",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, NON-SALIENT",463,447,50.6442953020134,29.6471190137245
"Bougher893","Bougher893.Q5B2","warmth Candidate B",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, SALIENT",468,458,49.6288209606987,27.0108536238023
"Bougher893","Bougher893.coalescedoutcome3","warmth gop",0,100,"CONTROL (NO PARTY CUE) x ALIGNED",516,494,41.5627530364373,28.7953383459573
"Bougher893","Bougher893.coalescedoutcome3","warmth gop",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, NON-SALIENT",463,444,43.2297297297297,29.3146920216481
"Bougher893","Bougher893.coalescedoutcome3","warmth gop",0,100,"CONTROL (NO PARTY CUE) x CROSS-PRESSURED, SALIENT",468,453,40.4128035320088,28.3764908672122
"FarrowS6","FarrowS6.coalescedoutcome1","Disappointment",1,7,"Condition 1 disappointment",490,483,5.67494824016563,1.55931604973415
"FarrowS6","FarrowS6.coalescedoutcome1","Disappointment",1,7,"Condition 2 disappointment",505,491,5.62525458248473,1.540637850397
"Haaland874","Haaland874.Q21","Racial Discrimination perception",1,5,"CONTROL",759,757,2.79524438573316,1.20803246379509
"Haaland874","Haaland874.Q21","Racial Discrimination perception",1,5,"TREATMENT",783,781,2.62612035851472,1.18149576248809
"Haaland874","Haaland874.Q32","Affirmative action: Preference",1,5,"CONTROL",759,753,3.29216467463479,1.12498449846315
"Haaland874","Haaland874.Q32","Affirmative action: Preference",1,5,"TREATMENT",783,782,3.32608695652174,1.05170298217861
"Haaland874","Haaland874.Q43","Affirmative action: Assistance",1,5,"CONTROL",759,754,2.54907161803713,1.04778546594532
"Haaland874","Haaland874.Q43","Affirmative action: Assistance",1,5,"TREATMENT",783,779,2.52888318356868,1.04531033040457
"Williamson859","Williamson859.Q9A1","Food stamps",1,3,"COND1",504,504,2.20039682539683,0.798557248539312
"Williamson859","Williamson859.Q9A1","Food stamps",1,3,"COND2",507,504,2.22222222222222,0.771138312135743
"Williamson859","Williamson859.Q9A1","Food stamps",1,3,"CONTROL",516,514,2.19260700389105,0.784762174046633
"Williamson859","Williamson859.Q9B2","Social Security",1,3,"COND1",504,503,1.63817097415507,0.906096128353489
"Williamson859","Williamson859.Q9B2","Social Security",1,3,"COND2",507,505,1.64752475247525,0.90770446332453
"Williamson859","Williamson859.Q9B2","Social Security",1,3,"CONTROL",516,513,1.64522417153996,0.902936614457016
"Williamson859","Williamson859.Q9C3","Military",1,3,"COND1",504,503,1.83300198807157,0.851495247999988
"Williamson859","Williamson859.Q9C3","Military",1,3,"COND2",507,504,1.80753968253968,0.844031023247058
"Williamson859","Williamson859.Q9C3","Military",1,3,"CONTROL",516,514,1.84630350194553,0.875102864077562
"AnsonBRIEF60","AnsonBRIEF60.Q11","economy_positivity",1,5,"Control group 1",202,200,3.115,0.983162265448082
"AnsonBRIEF60","AnsonBRIEF60.Q11","economy_positivity",1,5,"Treatment group 1",189,189,3.12698412698413,0.959145178349431
"AnsonBRIEF60","AnsonBRIEF60.Q22","blue_collar_positivity",1,5,"Control group 1",202,200,3.475,0.81405678070455
"AnsonBRIEF60","AnsonBRIEF60.Q22","blue_collar_positivity",1,5,"Treatment group 1",189,189,3.32275132275132,0.769471251561502
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Clear Authority, 15% support",79,54,1.2962962962963,0.46091089588801
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Clear Authority, 85% support",62,39,1.38461538461538,0.492864058090144
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Clearly No Authority, 15% support",75,47,1.34042553191489,0.478975162498507
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Clearly No Authority, 85% support",59,34,1.32352941176471,0.474858079933817
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Divided, 85% support",54,37,1.27027027027027,0.450225168890748
"Braman751","Braman751.B091","scholar_credibility",1,2,"Gun Control, Divided. 15% support",67,38,1.55263157894737,0.503896622873567
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Clear Authority, 15% support",72,38,1.23684210526316,0.430851484182746
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Clear Authority, 85% support",66,45,1.24444444444444,0.434613493680176
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Clearly No Authority, 15% support",68,46,1.32608695652174,0.473959577558488
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Clearly No Authority, 85% support",64,35,1.51428571428571,0.50709255283711
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Divided, 15% support",68,48,1.27083333333333,0.449092860289629
"Braman751","Braman751.B091","scholar_credibility",1,2,"Immigration, Divided, 85% support",67,45,1.24444444444444,0.434613493680177
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Clear Authority, 15% support",79,79,3.91139240506329,1.70361511105304
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Clear Authority, 85% support",62,62,3.91935483870968,1.63264230265506
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Clearly No Authority, 15% support",75,74,3.74324324324324,1.80608416808686
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Clearly No Authority, 85% support",59,58,3.62068965517241,1.71502735088309
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Divided, 85% support",54,54,3.77777777777778,1.39631140315876
"Braman751","Braman751.B102","pass_legislation",1,6,"Gun Control, Divided. 15% support",67,66,3.48484848484848,1.66634029438467
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Clear Authority, 15% support",72,69,3.57971014492754,1.63064221471038
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Clear Authority, 85% support",66,65,4.27692307692308,1.4198117426671
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Clearly No Authority, 15% support",68,68,3.72058823529412,1.52438476197648
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Clearly No Authority, 85% support",64,64,3.671875,1.55384507715844
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Divided, 15% support",68,68,3.66176470588235,1.53185376058237
"Braman751","Braman751.B102","pass_legislation",1,6,"Immigration, Divided, 85% support",67,67,4.1044776119403,1.49883114416988
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Clear Authority, 15% support",79,79,3.45569620253165,2.15309835397932
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Clear Authority, 85% support",62,62,3.30645161290323,1.92982382341591
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Clearly No Authority, 15% support",75,75,3.69333333333333,2.1179626450355
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Clearly No Authority, 85% support",59,58,3.91379310344828,2.03723654207671
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Divided, 85% support",54,53,3.43396226415094,1.87605799855261
"Braman751","Braman751.B123","legitimacy",1,7,"Gun Control, Divided. 15% support",67,66,3.86363636363636,1.92062781111052
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Clear Authority, 15% support",72,71,3.38028169014085,1.82338928672559
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Clear Authority, 85% support",66,65,2.72307692307692,1.79850365154352
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Clearly No Authority, 15% support",68,68,3.73529411764706,1.91317230546876
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Clearly No Authority, 85% support",64,64,3.9375,1.85912592536095
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Divided, 15% support",68,68,3.54411764705882,1.78245029680478
"Braman751","Braman751.B123","legitimacy",1,7,"Immigration, Divided, 85% support",67,67,3.05970149253731,1.74842437306595
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 1",264,260,3.55769230769231,1.32707856253408
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 2",269,268,3.55597014925373,1.37140465971158
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 3",258,258,3.66666666666667,1.29250056760155
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 4",248,246,3.65447154471545,1.3667032899867
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 5",275,275,3.69090909090909,1.25087892125776
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 6",247,243,3.5843621399177,1.25477694855572
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 7",259,257,3.64591439688716,1.34741971310668
"CorstangeBRIEF69","CorstangeBRIEF69.D021","welcome_refugees",1,5,"Group 8",253,251,3.59760956175299,1.3271903642463
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 1",231,229,3.86026200873362,1.5153141997727
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 2",249,248,3.66129032258065,1.56576272251763
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 3",289,287,4.68292682926829,1.61953366924437
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 4",243,242,3.18181818181818,1.50517778550413
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 5",261,261,4.85057471264368,1.52564288314682
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 6",236,235,3.17446808510638,1.53289682821216
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 7",227,225,4.88444444444444,1.64614749864694
"WallaceS9","WallaceS9.Q101","president_approval",1,7,"Group 8",271,271,2.91881918819188,1.59885841466622
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 1",231,228,3.42982456140351,1.780804640415
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 2",249,245,3.38367346938776,1.67666566786382
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 3",289,285,4.56842105263158,1.76019744158377
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 4",243,242,2.87603305785124,1.5463529463183
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 5",261,259,4.69111969111969,1.71777029545399
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 6",236,234,2.85042735042735,1.55274221951964
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 7",227,225,4.55111111111111,1.81223793945672
"WallaceS9","WallaceS9.Q112","credibility",1,7,"Group 8",271,271,2.71217712177122,1.58645868793098
"Campbell1308","Campbell1308.T65_1A1","Political Engagement",0,10,"Control",263,257,6.84824902723735,2.8987347132401
"Campbell1308","Campbell1308.T65_1A1","Political Engagement",0,10,"Democratic story",270,261,6.5823754789272,2.86589959510841
"Campbell1308","Campbell1308.T65_1A1","Political Engagement",0,10,"Non-Partisan story",231,227,6.66960352422907,2.72339931416829
"Campbell1308","Campbell1308.T65_1A1","Political Engagement",0,10,"Republican story",236,228,6.86842105263158,2.89618664029338
"Campbell1308","Campbell1308.T65_2A2","Political Responsiveness",0,10,"Control",263,257,4.57976653696498,2.34571982721341
"Campbell1308","Campbell1308.T65_2A2","Political Responsiveness",0,10,"Democratic story",270,264,4.34090909090909,2.38445391299287
"Campbell1308","Campbell1308.T65_2A2","Political Responsiveness",0,10,"Non-Partisan story",231,226,4.3716814159292,2.47006860998902
"Campbell1308","Campbell1308.T65_2A2","Political Responsiveness",0,10,"Republican story",236,227,4.40528634361233,2.5037261226601
"Campbell1308","Campbell1308.T65_33","Gender Roles",0,10,"Control",263,258,6.56589147286822,2.22418598318282
"Campbell1308","Campbell1308.T65_33","Gender Roles",0,10,"Democratic story",270,270,6.60740740740741,2.14561469011981
"Campbell1308","Campbell1308.T65_33","Gender Roles",0,10,"Non-Partisan story",231,230,6.52173913043478,2.14271519415568
"Campbell1308","Campbell1308.T65_33","Gender Roles",0,10,"Republican story",236,233,6.79399141630901,1.92992717834614
"senS81","senS81.T089_1A1","ideal_gender_male",0,100,"Gender-Control",655,637,53.0675039246468,10.9271528203742
"senS81","senS81.T089_1A1","ideal_gender_male",0,100,"Gender-PopulationStatistics",671,652,51.5598159509202,10.1550701038447
"senS81","senS81.T089_1A1","ideal_gender_male",0,100,"Gender-PopulationStatistics_StatusQuo",687,666,53.0480480480481,12.7634618575906
"FaheyS78","FaheyS78.F21","cancel culture",1,5,"Conservative * Cancel",500,499,2.42084168336673,1.31993005663315
"FaheyS78","FaheyS78.F21","cancel culture",1,5,"Conservative * No Cancel",509,505,2.5029702970297,1.25059156204908
"FaheyS78","FaheyS78.F21","cancel culture",1,5,"Liberal * Cancel",511,511,2.4559686888454,1.22775045006921
"FaheyS78","FaheyS78.F21","cancel culture",1,5,"Liberal * No Cancel",489,487,2.26078028747433,1.14024842384806
"wayne841","wayne841.CandidateSupportDT1","CandidateSupportDT",1,7,"Anger",231,230,5.28695652173913,2.17273786348673
"wayne841","wayne841.CandidateSupportDT1","CandidateSupportDT",1,7,"Fear",232,229,5.06986899563319,2.24671504457831
"wayne841","wayne841.CandidateSupportDT1","CandidateSupportDT",1,7,"RELAXED/CONTROL",253,250,5.148,2.19667876357956
"wayne841","wayne841.CandidateSupportHC2","CandidateSupportHC",1,7,"Anger",231,228,4.2280701754386,2.40606827444884
"wayne841","wayne841.CandidateSupportHC2","CandidateSupportHC",1,7,"Fear",232,230,4.61739130434783,2.35712284352924
"wayne841","wayne841.CandidateSupportHC2","CandidateSupportHC",1,7,"RELAXED/CONTROL",253,250,4.42,2.38207833388305
"wayne841","wayne841.CandidateSupportBC3","CandidateSupportBC",1,7,"Anger",231,224,4.01339285714286,1.98080454441559
"wayne841","wayne841.CandidateSupportBC3","CandidateSupportBC",1,7,"Fear",232,224,4.10714285714286,2.07637638334911
"wayne841","wayne841.CandidateSupportBC3","CandidateSupportBC",1,7,"RELAXED/CONTROL",253,246,4.34552845528455,2.18681585807909
"willer845","willer845.C011","race_threat",1,7,"Control",694,691,4.11722141823444,1.62476534097135
"willer845","willer845.C011","race_threat",1,7,"Threat to Economic Security",668,666,3.93993993993994,1.64229694163621
"willer845","willer845.C011","race_threat",1,7,"Threat to Racial Status",696,693,4.79076479076479,1.50560652357953
"willer845","willer845.C04_12","SupportTrump",1,7,"Control",694,693,3.31890331890332,2.29869351135299
"willer845","willer845.C04_12","SupportTrump",1,7,"Threat to Economic Security",668,668,3.26347305389222,2.28535154799507
"willer845","willer845.C04_12","SupportTrump",1,7,"Threat to Racial Status",696,695,3.11798561151079,2.27197091622518
"willer845","willer845.C04_23","SupportClinton",1,7,"Control",694,693,3.01298701298701,2.25821656986673
"willer845","willer845.C04_23","SupportClinton",1,7,"Threat to Economic Security",668,668,3.0374251497006,2.1971988338629
"willer845","willer845.C04_23","SupportClinton",1,7,"Threat to Racial Status",696,696,3.11350574712644,2.26580239601971
"Craig735","Craig735.Q91","Immigration",1,5,"Asian Growth",896,878,3.32346241457859,1.10566937178488
"Craig735","Craig735.Q91","Immigration",1,5,"Control",883,869,3.36018411967779,1.07777205047682
"Craig735","Craig735.Q91","Immigration",1,5,"Hispanic Growth",846,828,3.29589371980676,1.08886084636268
"Craig735","Craig735.Q102","Federal Funding",1,5,"Asian Growth",896,877,2.55644241733181,1.17744019438331
"Craig735","Craig735.Q102","Federal Funding",1,5,"Control",883,872,2.64334862385321,1.17478357291454
"Craig735","Craig735.Q102","Federal Funding",1,5,"Hispanic Growth",846,827,2.62515114873035,1.13911144596451
"Craig735","Craig735.Q113","Terrorist Interrogation",1,7,"Asian Growth",896,884,3.06674208144796,1.85580483106436
"Craig735","Craig735.Q113","Terrorist Interrogation",1,7,"Control",883,870,3.26436781609195,1.95319083374491
"Craig735","Craig735.Q113","Terrorist Interrogation",1,7,"Hispanic Growth",846,828,3.30917874396135,1.97959672512622
"Enos700","Enos700.coalescedoutcome1","modern_racism1",1,5,"Black",268,263,2.6615969581749,1.06806904542367
"Enos700","Enos700.coalescedoutcome1","modern_racism1",1,5,"Mauritanian",239,228,2.94298245614035,0.532051022402697
"Enos700","Enos700.coalescedoutcome1","modern_racism1",1,5,"Surinamese",226,224,2.94196428571429,0.484029868414105
"Howard823","Howard823.coalescedoutcome1","predictedexpense_nextweek",0,9999,"Control",452,447,377.006711409396,563.186933776326
"Howard823","Howard823.coalescedoutcome1","predictedexpense_nextweek",0,9999,"Experimental Different",413,408,514.835784313726,889.712547784056
"Howard823","Howard823.coalescedoutcome1","predictedexpense_nextweek",0,9999,"Experimental Similar",423,415,336.843373493976,602.872032830574
"Howard823","Howard823.B092","financial_slack",1,7,"Control",452,443,3.51241534988713,1.76868289286419
"Howard823","Howard823.B092","financial_slack",1,7,"Experimental Different",413,408,3.40686274509804,1.66954273213708
"Howard823","Howard823.B092","financial_slack",1,7,"Experimental Similar",423,417,3.39568345323741,1.65083911516921
"Howard823","Howard823.B103","Willingness_to_spend_on_optional_expense",1,11,"Control",452,444,4.45945945945946,2.71617106607883
"Howard823","Howard823.B103","Willingness_to_spend_on_optional_expense",1,11,"Experimental Different",413,410,4.33658536585366,2.43926279471738
"Howard823","Howard823.B103","Willingness_to_spend_on_optional_expense",1,11,"Experimental Similar",423,417,4.21103117505995,2.44036038115094
"Krupnikov719","Krupnikov719.Q1_11","abortion",1,2,"Group 1 Control",255,214,1.53738317757009,0.499769592825394
"Krupnikov719","Krupnikov719.Q1_11","abortion",1,2,"Group 2 Treatment 1",255,214,1.41121495327103,0.493207781791286
"Krupnikov719","Krupnikov719.Q1_11","abortion",1,2,"Group 3 Treatment 2",257,216,1.4537037037037,0.499008491501768
"Krupnikov719","Krupnikov719.Q22","systemic_racism",1,5,"Group 1 Control",255,255,3.47450980392157,1.35388666776635
"Krupnikov719","Krupnikov719.Q22","systemic_racism",1,5,"Group 2 Treatment 1",255,255,3.43921568627451,1.38440106600797
"Krupnikov719","Krupnikov719.Q22","systemic_racism",1,5,"Group 3 Treatment 2",257,257,3.4124513618677,1.3495950718555
"Krupnikov719","Krupnikov719.Q63","income",1,9,"Group 1 Control",255,237,5.66666666666667,2.18882627268073
"Krupnikov719","Krupnikov719.Q63","income",1,9,"Group 2 Treatment 1",255,242,5.47933884297521,2.34776904274463
"Krupnikov719","Krupnikov719.Q63","income",1,9,"Group 3 Treatment 2",257,243,5.5679012345679,2.36331259113732
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C1",316,299,3.98996655518395,1.11873895280145
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C10",140,139,3.64748201438849,1.12844197678216
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C11",159,152,3.7171052631579,1.18163520753265
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C12",157,152,3.84868421052632,1.0719782320925
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C2",161,153,4.17647058823529,1.50051590715197
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C3",164,158,4.34810126582278,1.25137995263559
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C4",158,150,4.39333333333333,1.35555861174947
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C5",160,156,4.38461538461538,1.52172032724231
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C6",160,154,4.40909090909091,1.40779174579363
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C7",168,161,4.42236024844721,1.25817204483725
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C8",172,166,4.21084337349398,1.18480399076454
"KuruB67","KuruB67.Qkuru11","poll_accuracy",1,7,"C9",163,156,4.41666666666667,1.44560884966735
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C1",316,306,3.58823529411765,1.9570114779385
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C10",140,140,3.56428571428571,1.73500031839491
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C11",159,156,3.73076923076923,1.96533229184526
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C12",157,153,3.29411764705882,1.83490410240303
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C2",161,158,3.45569620253165,1.90070364680534
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C3",164,160,3.7125,1.88802082655606
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C4",158,151,3.63576158940397,1.84204033147525
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C5",160,157,3.40764331210191,1.81502071052936
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C6",160,155,3.52258064516129,1.95180730057657
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C7",168,166,3.78313253012048,1.86221238752961
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C8",172,166,3.36144578313253,1.82626171082807
"KuruB67","KuruB67.Qkuru22","vote_choice",1,7,"C9",163,161,3.72670807453416,1.80273257043215
"Levendusky741","Levendusky741.Q51","Thermometer_dems",0,100,"American identity prime",728,710,47.9154929577465,29.6001784382955
"Levendusky741","Levendusky741.Q51","Thermometer_dems",0,100,"Control",715,705,47.6297872340425,29.4482494479936
"Levendusky741","Levendusky741.Q51","Thermometer_dems",0,100,"Self affirmation",698,683,48.294289897511,30.4300517010045
"Levendusky741","Levendusky741.Q82","social_distance",1,7,"American identity prime",728,698,3.96991404011461,1.32537761319724
"Levendusky741","Levendusky741.Q82","social_distance",1,7,"Control",715,695,3.94532374100719,1.37386175164025
"Levendusky741","Levendusky741.Q82","social_distance",1,7,"Self affirmation",698,679,3.91899852724595,1.35702309484358
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"No narrative",342,340,1.52352941176471,0.500182163588941
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Successful Treatment Engagement & Recovery",355,353,1.48725212464589,0.500546958112125
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful Treatment Engagement (Individual Choice)",354,352,1.43465909090909,0.496417820671914
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful Treatment Engagement (Individual Choice) + Family Violence",380,378,1.40740740740741,0.49200304946991
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",363,360,1.41111111111111,0.492720138874233
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful Treatment Engagement (Policy Failure)",358,356,1.44101123595506,0.497206948029864
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful treatment Engagement (Policy Failure) + Family Violence",352,351,1.3960113960114,0.489765004741825
"McGinty730","McGinty730.A11","willingness_to_pay_mentalhealthservices",1,2,"Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",344,342,1.39181286549708,0.488870491889067
"McGinty730","McGinty730.B12","social_stigma",1,5,"No narrative",342,340,3.37647058823529,1.12075059749583
"McGinty730","McGinty730.B12","social_stigma",1,5,"Successful Treatment Engagement & Recovery",355,350,3.34571428571429,1.06677965358748
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful Treatment Engagement (Individual Choice)",354,352,3.55113636363636,1.10047845778681
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful Treatment Engagement (Individual Choice) + Family Violence",380,377,3.77188328912467,1.08958068606631
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence",363,358,3.68994413407821,1.18177547536796
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful Treatment Engagement (Policy Failure)",358,354,3.51977401129944,1.054279800524
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful treatment Engagement (Policy Failure) + Family Violence",352,349,3.70200573065903,1.06270176716898
"McGinty730","McGinty730.B12","social_stigma",1,5,"Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence",344,340,3.59411764705882,1.10774723602485
"McGinty730","McGinty730.C1_13","treatment_support",1,5,"No narrative",342,341,2.02052785923754,0.912102137252406
"McGinty730","McGinty730.C1_13","treatment_support",1,5,"Successful Treatment Engagement & Recovery",355,350,1.88285714285714,0.876626025567583
"McGinty730","McGinty730.C1_13","treatment_support",1,5,"Unsuccessful Treatment Engagement (Individual Choice)",354,353,1.8271954674221,0.833358013197937
