"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"Cohen1099","Cohen1099.Q11","History",1,6,"male, upper class, student loans",155,154,3.52597402597403,1.40120420641643
"Cohen1099","Cohen1099.Q11","History",1,6,"male, working class, no debt",139,138,3.3768115942029,1.39970225483863
"Cohen1099","Cohen1099.Q11","History",1,6,"male, working class, no info",122,121,3.53719008264463,1.45511352543395
"Cohen1099","Cohen1099.Q11","History",1,6,"male, working class, student loans",123,122,3.22950819672131,1.49813595056608
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, upper class, no debt",123,122,4.12295081967213,1.41758652338413
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, upper class, no info",136,133,3.81954887218045,1.55131706734205
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, upper class, student loans",139,139,3.94964028776978,1.40559823257167
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, working class, no debt",132,131,4.67175572519084,1.0985497299174
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, working class, no info",127,126,4.38095238095238,1.3556232093448
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"female, working class, student loans",149,146,4.6027397260274,1.29975834387779
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, upper class, no debt",129,129,3.50387596899225,1.63039503939877
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, upper class, no info",136,133,3.30827067669173,1.70640704906191
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, upper class, student loans",155,153,3.30065359477124,1.62660838346583
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, working class, no debt",139,137,4.12408759124088,1.47251912738227
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, working class, no info",122,119,4.18487394957983,1.41999275812561
"Cohen1099","Cohen1099.Q22","Nursing",1,6,"male, working class, student loans",123,123,4.1219512195122,1.47983919071899
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, upper class, no debt",123,121,4.0495867768595,1.27704893973973
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, upper class, no info",136,135,3.91111111111111,1.34089893364442
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, upper class, student loans",139,138,4.14492753623188,1.21757641668895
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, working class, no debt",132,131,4.32824427480916,1.29758798777758
"Cohen1099","Cohen1099.Q33","Accounting",1,6,"female, working class, no info",127,126,3.95238095238095,1.37902657179414
