sample,intervention,outcome,outcome_scale,ate_vs_control,se_welch,n_treat,n_control,mean_treat,sd_treat,mean_control,sd_control
ALL,BindingMoral,belief,0-100; mean of 4 belief sliders,1.14143,0.47728,5081,5079,78.87202,23.53765,77.73059,24.55995
ALL,BindingMoral,policy,0-100; mean of 9 policy-support sliders,0.81140,0.38950,5041,5045,69.70609,19.41100,68.89469,19.70561
ALL,BindingMoral,share,0/1; shared climate info on social media,0.04273,0.01133,3873,3905,0.52750,0.49931,0.48476,0.49983
ALL,BindingMoral,wept,0-8; WEPT pages completed,0.07292,0.06770,5088,5085,5.07154,3.40376,4.99862,3.42484
ALL,CollectAction,belief,0-100; mean of 4 belief sliders,2.15246,0.47581,5148,5079,79.88305,23.53959,77.73059,24.55995
ALL,CollectAction,policy,0-100; mean of 9 policy-support sliders,2.88004,0.39044,5096,5045,71.77473,19.61129,68.89469,19.70561
ALL,CollectAction,share,0/1; shared climate info on social media,0.09008,0.01139,3721,3905,0.57485,0.49443,0.48476,0.49983
ALL,CollectAction,wept,0-8; WEPT pages completed,-0.16978,0.06799,5159,5085,4.82884,3.45687,4.99862,3.42484
ALL,DynamicNorm,belief,0-100; mean of 4 belief sliders,0.71099,0.48378,5158,5079,78.44158,24.38505,77.73059,24.55995
ALL,DynamicNorm,policy,0-100; mean of 9 policy-support sliders,1.20176,0.38967,5120,5045,70.09645,19.57893,68.89469,19.70561
ALL,DynamicNorm,share,0/1; shared climate info on social media,0.06539,0.01136,3808,3905,0.55016,0.49754,0.48476,0.49983
ALL,DynamicNorm,wept,0-8; WEPT pages completed,0.03060,0.06749,5167,5085,5.02922,3.40880,4.99862,3.42484
ALL,FutureSelfCont,belief,0-100; mean of 4 belief sliders,1.92668,0.51095,4187,5079,79.65727,24.41023,77.73059,24.55995
ALL,FutureSelfCont,policy,0-100; mean of 9 policy-support sliders,2.17716,0.41610,4155,5045,71.07185,19.98923,68.89469,19.70561
ALL,FutureSelfCont,share,0/1; shared climate info on social media,0.07794,0.01198,3094,3905,0.56270,0.49613,0.48476,0.49983
ALL,FutureSelfCont,wept,0-8; WEPT pages completed,-0.15647,0.07186,4194,5085,4.84216,3.46126,4.99862,3.42484
ALL,LetterFutureGen,belief,0-100; mean of 4 belief sliders,2.15060,0.50865,4014,5079,79.88119,23.70283,77.73059,24.55995
ALL,LetterFutureGen,policy,0-100; mean of 9 policy-support sliders,3.02747,0.41349,3981,5045,71.92216,19.34539,68.89469,19.70561
ALL,LetterFutureGen,share,0/1; shared climate info on social media,0.10081,0.01211,2939,3905,0.58557,0.49271,0.48476,0.49983
ALL,LetterFutureGen,wept,0-8; WEPT pages completed,-0.34348,0.07285,4022,5085,4.65515,3.47388,4.99862,3.42484
ALL,NegativeEmotions,belief,0-100; mean of 4 belief sliders,0.63586,0.48991,5156,5079,78.36645,25.00365,77.73059,24.55995
ALL,NegativeEmotions,policy,0-100; mean of 9 policy-support sliders,-0.30898,0.40136,5126,5045,68.58571,20.76535,68.89469,19.70561
ALL,NegativeEmotions,share,0/1; shared climate info on social media,0.10606,0.01140,3661,3905,0.59082,0.49175,0.48476,0.49983
ALL,NegativeEmotions,wept,0-8; WEPT pages completed,-0.50366,0.06831,5162,5085,4.49496,3.48986,4.99862,3.42484
ALL,PluralIgnorance,belief,0-100; mean of 4 belief sliders,0.71008,0.47184,5165,5079,78.44067,23.16238,77.73059,24.55995
ALL,PluralIgnorance,policy,0-100; mean of 9 policy-support sliders,0.27551,0.38118,5145,5045,69.17020,18.74917,68.89469,19.70561
ALL,PluralIgnorance,share,0/1; shared climate info on social media,0.01343,0.01134,3864,3905,0.49819,0.50006,0.48476,0.49983
ALL,PluralIgnorance,wept,0-8; WEPT pages completed,-0.10191,0.06791,5170,5085,4.89671,3.45243,4.99862,3.42484
ALL,PsychDistance,belief,0-100; mean of 4 belief sliders,3.07226,0.48681,4716,5079,80.80285,23.61235,77.73059,24.55995
ALL,PsychDistance,policy,0-100; mean of 9 policy-support sliders,1.08786,0.40133,4687,5045,69.98255,19.85344,68.89469,19.70561
ALL,PsychDistance,share,0/1; shared climate info on social media,0.07741,0.01168,3394,3905,0.56217,0.49619,0.48476,0.49983
ALL,PsychDistance,wept,0-8; WEPT pages completed,-0.43752,0.06987,4730,5085,4.56110,3.48967,4.99862,3.42484
